Дата торгов,BR,SBER,SNGS,Si
2015-07-22,0.3519500189322227,0.024746052340115787,0.38873701476216505,0.0730538372021804
2015-07-23,0.34816357440363493,0.019587987721907507,0.3829961727720065,0.0786121149016965
2015-07-24,0.3378455130632337,0.013100851238884853,0.37807545106615625,0.09006553561585096
2015-07-27,0.32819007951533513,0.003923926458023447,0.3687807545106615,0.10474980094322284
2015-07-28,0.3179666792881484,0.006233979937343731,0.3913340623291415,0.11949531450970774
2015-07-29,0.3210904960242332,0.009968038986108013,0.3969382176052486,0.11013964598517789
2015-07-30,0.32535024611889435,0.014714724217588016,0.4110169491525423,0.1046426165247748
2015-07-31,0.31768269594850435,0.012626182715736817,0.4349371241115363,0.12358363447050891
2015-08-03,0.3012116622491481,0.0115186228283915,0.446282121377802,0.15206406565811226
2015-08-04,0.2892843619840969,0.01401854371697095,0.4461454346637507,0.15988852820481403
2015-08-05,0.29240817872018177,0.018828518084870682,0.44436850738108247,0.15812764133031165
2015-08-06,0.28351003407800074,0.01743615708363655,0.44559868780754497,0.1750780915048692
2015-08-07,0.2819954562665657,0.019967722540425892,0.4453253143794422,0.17780363814540323
2015-08-10,0.28057553956834536,0.02230942058795607,0.44846910880262436,0.17337845286947995
2015-08-11,0.28833775085195,0.022087908610486984,0.4693821760524878,0.16797329576774667
2015-08-12,0.283131389625142,0.018923451789500306,0.4540732640787315,0.1834384761438108
2015-08-13,0.2854979174555093,0.020189234517894977,0.4666484417714598,0.17931953206345308
2015-08-14,0.28038621734191593,0.02164488465554884,0.47416621104428647,0.18392846205671587
2015-08-17,0.27906096175691025,0.019018385494129902,0.4834609075997811,0.19316163410301956
2015-08-18,0.2762211283604695,0.016645042878389887,0.4773100054674686,0.1978930605745084
2015-08-19,0.27375993941688753,0.015664061263884005,0.4574904319300164,0.19940895449255835
2015-08-20,0.2598447557743279,0.0136071643302427,0.4440951339529797,0.21819685184050952
2015-08-21,0.2532184778492995,0.010411062941046129,0.4332968835429196,0.2344276352054877
2015-08-24,0.23106777735706174,0.0021201860700610364,0.38805358119190814,0.27367244441722294
2015-08-25,0.22917455509276785,0.009018701939811996,0.4097867687260799,0.25589514301463834
2015-08-26,0.22576675501703897,0.009683237872219197,0.4235921268452706,0.25301647577632136
2015-08-27,0.2392086330935252,0.017183000537957627,0.4404045926735921,0.21948306486188507
2015-08-28,0.2666603559257857,0.021423372678079783,0.45420995079278303,0.20593189195810613
2015-08-31,0.2851192730026505,0.020379101927154197,0.462547840349918,0.207554970294604
