Дата торгов,BR,SBER,SNGS,Si
2016-11-24,49.02,158.59,29.15,64804.0
2016-11-25,48.45,160.81,29.015,64854.0
2016-11-28,47.44,159.58,29.15,65177.0
2016-11-29,47.36,158.61,29.645,65356.0
2016-11-30,48.56,158.84,29.82,64873.0
2016-12-01,50.14,158.92,30.16,64116.0
2016-12-02,53.75,158.58,29.885,64251.0
2016-12-05,54.7,161.37,29.915,63897.0
2016-12-06,54.29,161.18,30.45,63937.0
2016-12-07,53.67,159.92,30.385,63897.0
2016-12-08,53.35,165.24,30.525,63501.0
2016-12-09,53.89,169.2,30.85,63166.0
2016-12-12,56.23,175.54,30.44,61550.0
2016-12-13,55.83,174.88,30.455,60989.0
2016-12-14,55.26,174.09,30.505,60925.0
2016-12-15,54.11,173.08,30.585,61659.0
2016-12-16,54.23,174.87,30.935,62775.0
2016-12-19,55.19,174.68,31.115,63079.0
2016-12-20,55.28,175.28,31.04,62745.0
2016-12-21,55.47,177.89,30.64,62143.0
2016-12-22,54.61,171.96,29.915,61956.0
2016-12-23,54.76,170.25,30.095,62073.0
2016-12-26,55.09,172.37,29.92,61925.0
2016-12-27,55.34,171.94,29.925,61769.0
2016-12-28,56.21,171.9,30.165,61556.0
2016-12-29,56.36,169.69,30.54,61333.0
2016-12-30,56.2,171.85,30.93,61948.0
2017-01-03,57.66,178.25,31.56,61675.0
2017-01-04,55.89,176.5,31.67,61713.0
2017-01-05,56.49,174.13,31.395,60759.0
2017-01-06,56.8,171.28,31.585,60322.0
2017-01-09,56.4,169.9,31.35,60639.0
2017-01-10,55.09,171.03,31.245,60783.0
2017-01-11,54.1,170.79,31.255,61089.0
2017-01-12,55.62,169.36,31.24,60312.0
2017-01-13,55.82,166.36,31.225,60196.0
2017-01-16,55.47,165.49,31.395,60447.0
2017-01-17,56.3,164.98,31.195,60058.0
2017-01-18,55.07,165.99,31.185,59996.0
2017-01-19,54.47,165.67,31.205,60455.0
2017-01-20,54.76,166.94,31.625,60497.0
2017-01-23,55.18,165.89,31.305,60232.0
2017-01-24,55.46,169.28,31.28,59971.0
2017-01-25,55.18,170.29,31.55,59927.0
2017-01-26,55.64,172.52,32.25,60621.0
2017-01-27,55.85,175.4,32.495,60738.0
2017-01-30,55.3,176.06,32.325,60675.0
2017-01-31,55.33,173.16,32.385,60658.0
2017-02-01,55.76,173.19,32.315,60861.0
2017-02-02,56.67,173.19,31.99,60396.0
2017-02-03,56.82,173.44,32.4,59834.0
2017-02-06,56.71,173.26,32.5,59392.0
2017-02-07,55.51,172.98,32.615,59809.0
2017-02-08,54.83,171.69,32.6,59897.0
2017-02-09,55.53,169.63,32.445,59457.0
2017-02-10,56.16,166.95,32.26,59181.0
2017-02-13,56.29,164.98,31.88,58530.0
2017-02-14,55.94,162.98,31.79,58039.0
2017-02-15,55.84,163.39,31.755,57728.0
2017-02-16,55.82,164.7,31.97,57655.0
2017-02-17,55.5,165.65,31.72,58320.0
2017-02-20,55.95,165.32,31.39,58555.0
2017-02-21,56.78,167.09,31.44,58128.0
2017-02-22,56.41,166.44,30.77,58042.0
2017-02-24,56.05,166.35,30.49,58396.0
2017-02-27,56.47,162.89,30.09,58087.0
2017-02-28,55.79,157.77,29.475,58313.0
2017-03-01,55.45,159.55,29.47,58537.0
2017-03-02,55.98,162.37,29.99,58784.0
2017-03-03,55.31,163.46,29.605,58892.0
2017-03-06,55.73,164.24,29.67,58315.0
2017-03-07,56.16,160.65,29.37,58253.0
2017-03-09,53.15,157.84,29.335,59135.0
2017-03-10,52.24,157.84,28.67,59156.0
2017-03-13,51.4,158.65,28.405,59104.0
2017-03-14,51.05,159.21,28.455,59258.0
2017-03-15,51.43,157.54,28.485,59129.0
2017-03-16,52.0,158.75,28.34,58447.0
2017-03-17,51.81,160.86,28.795,59018.0
2017-03-20,51.44,162.82,29.19,58582.0
2017-03-21,51.73,164.21,29.64,58384.0
2017-03-22,50.49,161.16,29.655,59048.0
2017-03-23,50.62,163.53,29.615,58727.0
2017-03-24,50.71,164.71,29.395,58329.0
2017-03-27,50.5,162.28,28.985,58010.0
2017-03-28,51.26,163.07,29.265,58037.0
2017-03-29,51.72,163.42,29.35,57921.0
2017-03-30,52.46,163.13,29.315,57266.0
2017-03-31,52.71,161.03,29.165,57178.0
2017-04-03,52.76,161.56,29.285,57260.0
2017-04-04,53.39,162.43,29.27,57385.0
2017-04-05,54.57,166.63,29.68,56968.0
2017-04-06,54.55,167.5,29.72,57294.0
2017-04-07,55.22,163.14,29.7,57791.0
2017-04-10,55.66,156.69,29.045,58164.0
2017-04-11,55.81,157.07,28.355,57889.0
2017-04-12,56.25,153.36,27.64,57731.0
2017-04-13,55.84,151.62,27.04,57371.0
2017-04-14,55.74,150.35,27.06,57031.0
2017-04-17,55.65,151.15,26.94,56904.0
2017-04-18,55.12,153.96,26.93,56848.0
2017-04-19,54.83,154.17,26.68,57004.0
2017-04-20,53.17,155.43,26.36,57119.0
2017-04-21,52.66,159.36,26.695,57007.0
2017-04-24,51.96,162.29,26.835,56668.0
